171914, Attitude, Roll,0.086909135, Accelerometer (raw), x,0.096038818
171914, Attitude, Yaw,1.527642044, Accelerometer (raw), y,-0.358184814
171914, Attitude, Pitch,0.358991258, Accelerometer (raw), z,-0.900665283
171915, Attitude, Roll,0.071608939, Accelerometer (raw), x,0.045440674
171915, Attitude, Yaw,1.536481498, Accelerometer (raw), y,-0.351211548
171915, Attitude, Pitch,0.359063622, Accelerometer (raw), z,-0.916259766
171915, Attitude, Roll,0.066860885, Accelerometer (raw), x,0.060287476
171915, Attitude, Yaw,1.537489435, Accelerometer (raw), y,-0.343765259
171915, Attitude, Pitch,0.352686412, Accelerometer (raw), z,-0.914871216
171915, Attitude, Roll,0.061060105, Accelerometer (raw), x,0.066696167
171915, Attitude, Yaw,1.532931833, Accelerometer (raw), y,-0.332931519
171915, Attitude, Pitch,0.35308638, Accelerometer (raw), z,-0.931884766
171915, Attitude, Roll,0.059258439, Accelerometer (raw), x,0.05557251
171915, Attitude, Yaw,1.535136441, Accelerometer (raw), y,-0.352767944
171915, Attitude, Pitch,0.34771391, Accelerometer (raw), z,-0.920913696
171915, Attitude, Roll,0.055654262, Accelerometer (raw), x,0.054977417
171915, Attitude, Yaw,1.538942701, Accelerometer (raw), y,-0.34777832
171915, Attitude, Pitch,0.349647648, Accelerometer (raw), z,-0.913421631
171915, Attitude, Roll,0.050320009, Accelerometer (raw), x,0.055862427
171915, Attitude, Yaw,1.540610927, Accelerometer (raw), y,-0.325744629
171915, Attitude, Pitch,0.345219719, Accelerometer (raw), z,-0.931381226
171915, Attitude, Roll,0.053165887, Accelerometer (raw), x,0.05039978
171915, Attitude, Yaw,1.542942382, Accelerometer (raw), y,-0.303131104
171915, Attitude, Pitch,0.333804916, Accelerometer (raw), z,-0.942123413
171915, Attitude, Roll,0.053846957, Accelerometer (raw), x,0.039245605
171915, Attitude, Yaw,1.55016603, Accelerometer (raw), y,-0.321060181
171915, Attitude, Pitch,0.321851617, Accelerometer (raw), z,-0.936828613
171915, Attitude, Roll,0.040960196, Accelerometer (raw), x,0.028839111
171915, Attitude, Yaw,1.564805833, Accelerometer (raw), y,-0.32913208
171915, Attitude, Pitch,0.328284552, Accelerometer (raw), z,-0.929672241
171915, Attitude, Roll,0.034233169, Accelerometer (raw), x,0.036254883
171915, Attitude, Yaw,1.569987445, Accelerometer (raw), y,-0.332275391
171915, Attitude, Pitch,0.326444066, Accelerometer (raw), z,-0.937026978
171916, Attitude, Roll,0.023867307, Accelerometer (raw), x,0.011581421
171916, Attitude, Yaw,1.570772032, Accelerometer (raw), y,-0.333969116
171916, Attitude, Pitch,0.330772089, Accelerometer (raw), z,-0.932922363
171916, Attitude, Roll,0.021843667, Accelerometer (raw), x,0.015991211
171916, Attitude, Yaw,1.565695341, Accelerometer (raw), y,-0.322067261
171916, Attitude, Pitch,0.327630466, Accelerometer (raw), z,-0.929458618
171916, Attitude, Roll,0.024902258, Accelerometer (raw), x,0.029525757
171916, Attitude, Yaw,1.556653394, Accelerometer (raw), y,-0.307098389
171916, Attitude, Pitch,0.31622559, Accelerometer (raw), z,-0.937408447
171916, Attitude, Roll,0.028862719, Accelerometer (raw), x,0.023574829
171916, Attitude, Yaw,1.55026994, Accelerometer (raw), y,-0.302062988
171916, Attitude, Pitch,0.309880211, Accelerometer (raw), z,-0.953186035
171916, Attitude, Roll,0.029454256, Accelerometer (raw), x,0.055480957
171916, Attitude, Yaw,1.547725264, Accelerometer (raw), y,-0.210952759
171916, Attitude, Pitch,0.307340292, Accelerometer (raw), z,-0.939193726
171916, Attitude, Roll,0.026057722, Accelerometer (raw), x,0.030181885
171916, Attitude, Yaw,1.552395917, Accelerometer (raw), y,-0.291473389
171916, Attitude, Pitch,0.302507541, Accelerometer (raw), z,-0.948776245
171916, Attitude, Roll,0.030216801, Accelerometer (raw), x,0.038757324
171916, Attitude, Yaw,1.556061296, Accelerometer (raw), y,-0.299789429
171916, Attitude, Pitch,0.308607894, Accelerometer (raw), z,-0.941360474
171916, Attitude, Roll,0.042084985, Accelerometer (raw), x,0.034408569
171916, Attitude, Yaw,1.56242773, Accelerometer (raw), y,-0.300827026
171916, Attitude, Pitch,0.313175049, Accelerometer (raw), z,-0.942352295
171916, Attitude, Roll,0.043355784, Accelerometer (raw), x,0.039855957
171916, Attitude, Yaw,1.562784769, Accelerometer (raw), y,-0.307403564
171916, Attitude, Pitch,0.315189305, Accelerometer (raw), z,-0.928955078
171916, Attitude, Roll,0.038297667, Accelerometer (raw), x,0.039108276
171916, Attitude, Yaw,1.561593284, Accelerometer (raw), y,-0.300964355
171916, Attitude, Pitch,0.317123092, Accelerometer (raw), z,-0.949615479
171917, Attitude, Roll,0.038833245, Accelerometer (raw), x,0.04057312
171917, Attitude, Yaw,1.561434705, Accelerometer (raw), y,-0.30809021
171917, Attitude, Pitch,0.314763435, Accelerometer (raw), z,-0.95022583
171917, Attitude, Roll,0.036460994, Accelerometer (raw), x,0.040527344
171917, Attitude, Yaw,1.559057497, Accelerometer (raw), y,-0.306274414
171917, Attitude, Pitch,0.316744263, Accelerometer (raw), z,-0.947647095
171917, Attitude, Roll,0.037041416, Accelerometer (raw), x,0.039474487
171917, Attitude, Yaw,1.559016135, Accelerometer (raw), y,-0.310134888
171917, Attitude, Pitch,0.318667461, Accelerometer (raw), z,-0.945877075
171917, Attitude, Roll,0.033281109, Accelerometer (raw), x,0.025268555
171917, Attitude, Yaw,1.560277977, Accelerometer (raw), y,-0.306732178
171917, Attitude, Pitch,0.320175859, Accelerometer (raw), z,-0.943954468
171917, Attitude, Roll,0.031034377, Accelerometer (raw), x,0.01651001
171917, Attitude, Yaw,1.563782034, Accelerometer (raw), y,-0.291473389
171917, Attitude, Pitch,0.317700382, Accelerometer (raw), z,-0.942642212
171917, Attitude, Roll,0.028133661, Accelerometer (raw), x,0.030395508
171917, Attitude, Yaw,1.56699232, Accelerometer (raw), y,-0.308074951
171917, Attitude, Pitch,0.316131857, Accelerometer (raw), z,-0.933258057
171917, Attitude, Roll,0.031216249, Accelerometer (raw), x,0.035736084
171917, Attitude, Yaw,1.570997238, Accelerometer (raw), y,-0.309249878
171917, Attitude, Pitch,0.317286901, Accelerometer (raw), z,-0.937332153
171917, Attitude, Roll,0.029596498, Accelerometer (raw), x,0.020996094
171917, Attitude, Yaw,1.575669632, Accelerometer (raw), y,-0.319610596
171917, Attitude, Pitch,0.313335749, Accelerometer (raw), z,-0.95022583
171917, Attitude, Roll,0.028511491, Accelerometer (raw), x,0.022583008
171917, Attitude, Yaw,1.576938207, Accelerometer (raw), y,-0.304519653
171917, Attitude, Pitch,0.310026699, Accelerometer (raw), z,-0.941711426
171917, Attitude, Roll,0.027031781, Accelerometer (raw), x,0.027130127
171917, Attitude, Yaw,1.576198873, Accelerometer (raw), y,-0.297012329
171917, Attitude, Pitch,0.307057208, Accelerometer (raw), z,-0.946868896
171918, Attitude, Roll,0.025973479, Accelerometer (raw), x,0.024627686
171918, Attitude, Yaw,1.576159459, Accelerometer (raw), y,-0.29006958
171918, Attitude, Pitch,0.302242154, Accelerometer (raw), z,-0.958877563
171918, Attitude, Roll,0.026453732, Accelerometer (raw), x,0.015960693
171918, Attitude, Yaw,1.577843629, Accelerometer (raw), y,-0.28767395
171918, Attitude, Pitch,0.301866887, Accelerometer (raw), z,-0.951049805
171918, Attitude, Roll,0.024893927, Accelerometer (raw), x,0.015182495
171918, Attitude, Yaw,1.57860812, Accelerometer (raw), y,-0.301620483
171918, Attitude, Pitch,0.302105442, Accelerometer (raw), z,-0.938262939
171918, Attitude, Roll,0.023592391, Accelerometer (raw), x,0.01890564
171918, Attitude, Yaw,1.580287818, Accelerometer (raw), y,-0.286560059
171918, Attitude, Pitch,0.303699067, Accelerometer (raw), z,-0.949127197
171918, Attitude, Roll,0.023051907, Accelerometer (raw), x,0.025665283
171918, Attitude, Yaw,1.579664881, Accelerometer (raw), y,-0.297058105
171918, Attitude, Pitch,0.303813479, Accelerometer (raw), z,-0.933303833
171918, Attitude, Roll,0.023220871, Accelerometer (raw), x,0.028594971
171918, Attitude, Yaw,1.581603409, Accelerometer (raw), y,-0.30418396
171918, Attitude, Pitch,0.305588866, Accelerometer (raw), z,-0.931091309
171918, Attitude, Roll,0.02200426, Accelerometer (raw), x,0.021331787
171918, Attitude, Yaw,1.58164813, Accelerometer (raw), y,-0.300689697
171918, Attitude, Pitch,0.304109186, Accelerometer (raw), z,-0.947799683
171918, Attitude, Roll,0.021604148, Accelerometer (raw), x,0.022293091
171918, Attitude, Yaw,1.582953044, Accelerometer (raw), y,-0.298706055
171918, Attitude, Pitch,0.304734234, Accelerometer (raw), z,-0.945785522
171918, Attitude, Roll,0.020332345, Accelerometer (raw), x,0.021179199
171918, Attitude, Yaw,1.584833398, Accelerometer (raw), y,-0.29637146
171918, Attitude, Pitch,0.305217832, Accelerometer (raw), z,-0.952774048
171918, Attitude, Roll,0.019136405, Accelerometer (raw), x,0.016860962
171918, Attitude, Yaw,1.586206138, Accelerometer (raw), y,-0.289810181
171918, Attitude, Pitch,0.306070198, Accelerometer (raw), z,-0.964828491
171919, Attitude, Roll,0.018791866, Accelerometer (raw), x,0.014282227
171919, Attitude, Yaw,1.587853392, Accelerometer (raw), y,-0.299362183
171919, Attitude, Pitch,0.306119067, Accelerometer (raw), z,-0.930618286
171919, Attitude, Roll,0.017253907, Accelerometer (raw), x,0.018600464
171919, Attitude, Yaw,1.589217368, Accelerometer (raw), y,-0.297851563
171919, Attitude, Pitch,0.306667928, Accelerometer (raw), z,-0.94569397
171919, Attitude, Roll,0.017090426, Accelerometer (raw), x,0.013381958
171919, Attitude, Yaw,1.589038169, Accelerometer (raw), y,-0.296966553
171919, Attitude, Pitch,0.306313823, Accelerometer (raw), z,-0.944900513
171919, Attitude, Roll,0.016388743, Accelerometer (raw), x,0.014663696
171919, Attitude, Yaw,1.589160526, Accelerometer (raw), y,-0.295547485
171919, Attitude, Pitch,0.307160581, Accelerometer (raw), z,-0.946105957
171919, Attitude, Roll,0.016583587, Accelerometer (raw), x,0.016540527
171919, Attitude, Yaw,1.589515537, Accelerometer (raw), y,-0.299102783
171919, Attitude, Pitch,0.306843309, Accelerometer (raw), z,-0.948669434
171919, Attitude, Roll,0.017255466, Accelerometer (raw), x,0.011535645
171919, Attitude, Yaw,1.590263572, Accelerometer (raw), y,-0.299560547
171919, Attitude, Pitch,0.306314407, Accelerometer (raw), z,-0.941726685
171919, Attitude, Roll,0.016288293, Accelerometer (raw), x,0.013244629
171919, Attitude, Yaw,1.590943717, Accelerometer (raw), y,-0.296615601
171919, Attitude, Pitch,0.306084147, Accelerometer (raw), z,-0.948760986
171919, Attitude, Roll,0.015985958, Accelerometer (raw), x,0.021270752
171919, Attitude, Yaw,1.590729389, Accelerometer (raw), y,-0.302261353
171919, Attitude, Pitch,0.304500006, Accelerometer (raw), z,-0.94354248
171919, Attitude, Roll,0.016196792, Accelerometer (raw), x,0.016891479
171919, Attitude, Yaw,1.590645817, Accelerometer (raw), y,-0.292938232
171919, Attitude, Pitch,0.304727386, Accelerometer (raw), z,-0.949523926
171919, Attitude, Roll,0.016467747, Accelerometer (raw), x,0.01574707
171919, Attitude, Yaw,1.591185625, Accelerometer (raw), y,-0.296600342
171919, Attitude, Pitch,0.304101868, Accelerometer (raw), z,-0.946243286
171919, Attitude, Roll,0.015242673, Accelerometer (raw), x,0.011688232
171919, Attitude, Yaw,1.591978179, Accelerometer (raw), y,-0.287506104
171919, Attitude, Pitch,0.305500866, Accelerometer (raw), z,-0.952850342
171920, Attitude, Roll,0.013709422, Accelerometer (raw), x,0.018432617
171920, Attitude, Yaw,1.591321122, Accelerometer (raw), y,-0.295196533
171920, Attitude, Pitch,0.303962106, Accelerometer (raw), z,-0.937744141
171920, Attitude, Roll,0.014682176, Accelerometer (raw), x,0.009689331
171920, Attitude, Yaw,1.592506007, Accelerometer (raw), y,-0.297271729
171920, Attitude, Pitch,0.30240277, Accelerometer (raw), z,-0.930114746
171920, Attitude, Roll,0.009629003, Accelerometer (raw), x,0.004470825
171920, Attitude, Yaw,1.596897291, Accelerometer (raw), y,-0.30480957
171920, Attitude, Pitch,0.306428074, Accelerometer (raw), z,-0.932189941
171920, Attitude, Roll,0.009717401, Accelerometer (raw), x,0.000534058
171920, Attitude, Yaw,1.583077372, Accelerometer (raw), y,-0.312759399
171920, Attitude, Pitch,0.314780822, Accelerometer (raw), z,-0.972137451
171920, Attitude, Roll,0.040734914, Accelerometer (raw), x,0.022140503
171920, Attitude, Yaw,1.572038657, Accelerometer (raw), y,-0.312713623
171920, Attitude, Pitch,0.292614574, Accelerometer (raw), z,-0.934906006
171920, Attitude, Roll,0.044870699, Accelerometer (raw), x,-0.0052948
171920, Attitude, Yaw,1.563424111, Accelerometer (raw), y,-0.079559326
171920, Attitude, Pitch,0.280917905, Accelerometer (raw), z,-0.927978516
171920, Attitude, Roll,0.044544804, Accelerometer (raw), x,0.049057007
171920, Attitude, Yaw,1.548048775, Accelerometer (raw), y,-0.302139282
171920, Attitude, Pitch,0.27477249, Accelerometer (raw), z,-0.936080933
171920, Attitude, Roll,0.030971458, Accelerometer (raw), x,0.071914673
171920, Attitude, Yaw,1.556978839, Accelerometer (raw), y,-0.266677856
171920, Attitude, Pitch,0.282953118, Accelerometer (raw), z,-0.949569702
171920, Attitude, Roll,0.03616941, Accelerometer (raw), x,0.079879761
171920, Attitude, Yaw,1.577043203, Accelerometer (raw), y,-0.286193848
171920, Attitude, Pitch,0.297349659, Accelerometer (raw), z,-0.949707031
171920, Attitude, Roll,0.075700783, Accelerometer (raw), x,0.109985352
171920, Attitude, Yaw,1.602839975, Accelerometer (raw), y,-0.416687012
171920, Attitude, Pitch,0.311987928, Accelerometer (raw), z,-0.864608765
171921, Attitude, Roll,0.102063106, Accelerometer (raw), x,0.109985352
171921, Attitude, Yaw,1.643382992, Accelerometer (raw), y,-0.416976929
171921, Attitude, Pitch,0.345503991, Accelerometer (raw), z,-0.87059021
171921, Attitude, Roll,0.070095731, Accelerometer (raw), x,0.09312439
171921, Attitude, Yaw,1.650525021, Accelerometer (raw), y,-0.382705688
171921, Attitude, Pitch,0.31348574, Accelerometer (raw), z,-0.893203735
171921, Attitude, Roll,0.061415532, Accelerometer (raw), x,0.087921143
171921, Attitude, Yaw,1.644856019, Accelerometer (raw), y,-0.364822388
171921, Attitude, Pitch,0.294319556, Accelerometer (raw), z,-0.941070557
171921, Attitude, Roll,0.063584942, Accelerometer (raw), x,0.087005615
171921, Attitude, Yaw,1.646861385, Accelerometer (raw), y,-0.371627808
171921, Attitude, Pitch,0.298632454, Accelerometer (raw), z,-0.898864746
171921, Attitude, Roll,0.050690428, Accelerometer (raw), x,0.052276611
171921, Attitude, Yaw,1.653761975, Accelerometer (raw), y,-0.459106445
171921, Attitude, Pitch,0.316667403, Accelerometer (raw), z,-0.920501709
171921, Attitude, Roll,0.037492348, Accelerometer (raw), x,0.06729126
171921, Attitude, Yaw,1.659241181, Accelerometer (raw), y,-0.48286438
171921, Attitude, Pitch,0.328028121, Accelerometer (raw), z,-1.004364014
171921, Attitude, Roll,0.018909297, Accelerometer (raw), x,-0.010009766
171921, Attitude, Yaw,1.656102303, Accelerometer (raw), y,-0.320083618
171921, Attitude, Pitch,0.357288687, Accelerometer (raw), z,-1.09475708
171921, Attitude, Roll,0.013966784, Accelerometer (raw), x,-0.073913574
171921, Attitude, Yaw,1.652476385, Accelerometer (raw), y,-0.266265869
171921, Attitude, Pitch,0.397619873, Accelerometer (raw), z,-0.978973389
171921, Attitude, Roll,0.003832195, Accelerometer (raw), x,-0.060134888
171921, Attitude, Yaw,1.639546065, Accelerometer (raw), y,-0.22644043
171921, Attitude, Pitch,0.430831816, Accelerometer (raw), z,-0.916992188
171921, Attitude, Roll,-0.014974676, Accelerometer (raw), x,-0.040267944
171921, Attitude, Yaw,1.619791405, Accelerometer (raw), y,-0.264297485
171921, Attitude, Pitch,0.448753275, Accelerometer (raw), z,-0.788452148
171922, Attitude, Roll,-0.006342855, Accelerometer (raw), x,-0.063064575
171922, Attitude, Yaw,1.58769991, Accelerometer (raw), y,-0.332336426
171922, Attitude, Pitch,0.406564074, Accelerometer (raw), z,-0.85369873
171922, Attitude, Roll,-0.021317214, Accelerometer (raw), x,-0.074981689
171922, Attitude, Yaw,1.580992765, Accelerometer (raw), y,-0.384994507
171922, Attitude, Pitch,0.380022815, Accelerometer (raw), z,-0.913528442
171922, Attitude, Roll,-0.024427367, Accelerometer (raw), x,-0.026321411
171922, Attitude, Yaw,1.574127985, Accelerometer (raw), y,-0.43649292
171922, Attitude, Pitch,0.365886917, Accelerometer (raw), z,-0.93258667
171922, Attitude, Roll,-0.031757268, Accelerometer (raw), x,-0.03868103
171922, Attitude, Yaw,1.576694526, Accelerometer (raw), y,-0.452285767
171922, Attitude, Pitch,0.373586077, Accelerometer (raw), z,-0.960266113
171922, Attitude, Roll,-0.029562558, Accelerometer (raw), x,-0.051757813
171922, Attitude, Yaw,1.583222853, Accelerometer (raw), y,-0.313217163
171922, Attitude, Pitch,0.368226814, Accelerometer (raw), z,-1.043075562
171922, Attitude, Roll,-0.045355918, Accelerometer (raw), x,-0.099014282
171922, Attitude, Yaw,1.593214152, Accelerometer (raw), y,-0.222564697
171922, Attitude, Pitch,0.385060764, Accelerometer (raw), z,-1.002105713
171922, Attitude, Roll,-0.048317793, Accelerometer (raw), x,0.021377563
171922, Attitude, Yaw,1.615389797, Accelerometer (raw), y,-0.214385986
171922, Attitude, Pitch,0.403670296, Accelerometer (raw), z,-0.976699829
171922, Attitude, Roll,-0.050139359, Accelerometer (raw), x,-0.036819458
171922, Attitude, Yaw,1.611396399, Accelerometer (raw), y,-0.222640991
171922, Attitude, Pitch,0.37277854, Accelerometer (raw), z,-0.932510376
171922, Attitude, Roll,-0.046013826, Accelerometer (raw), x,-0.016845703
171922, Attitude, Yaw,1.62222626, Accelerometer (raw), y,-0.32460022
171922, Attitude, Pitch,0.351756249, Accelerometer (raw), z,-0.854248047
171923, Attitude, Roll,-0.042923821, Accelerometer (raw), x,-0.007873535
171923, Attitude, Yaw,1.631397474, Accelerometer (raw), y,-0.29675293
171923, Attitude, Pitch,0.319759536, Accelerometer (raw), z,-0.936340332
171923, Attitude, Roll,-0.031704131, Accelerometer (raw), x,-0.029129028
171923, Attitude, Yaw,1.639905898, Accelerometer (raw), y,-0.438644409
171923, Attitude, Pitch,0.329778835, Accelerometer (raw), z,-0.868515015
171923, Attitude, Roll,-0.038403568, Accelerometer (raw), x,-0.02204895
171923, Attitude, Yaw,1.631536656, Accelerometer (raw), y,-0.4559021
171923, Attitude, Pitch,0.349855387, Accelerometer (raw), z,-0.979766846
171923, Attitude, Roll,-0.038200119, Accelerometer (raw), x,-0.002975464
171923, Attitude, Yaw,1.620686361, Accelerometer (raw), y,-0.398208618
171923, Attitude, Pitch,0.384120966, Accelerometer (raw), z,-1.018112183
171923, Attitude, Roll,-0.043060006, Accelerometer (raw), x,-0.109710693
171923, Attitude, Yaw,1.608726123, Accelerometer (raw), y,-0.183319092
171923, Attitude, Pitch,0.387636728, Accelerometer (raw), z,-1.05821228
171923, Attitude, Roll,-0.040807399, Accelerometer (raw), x,-0.129745483
171923, Attitude, Yaw,1.622589048, Accelerometer (raw), y,-0.16859436
171923, Attitude, Pitch,0.400663669, Accelerometer (raw), z,-1.002120972
171923, Attitude, Roll,-0.045842171, Accelerometer (raw), x,-0.036254883
171923, Attitude, Yaw,1.585026423, Accelerometer (raw), y,-0.23878479
171923, Attitude, Pitch,0.366640277, Accelerometer (raw), z,-0.837478638
171923, Attitude, Roll,-0.03278929, Accelerometer (raw), x,-0.071914673
171923, Attitude, Yaw,1.575565642, Accelerometer (raw), y,-0.297576904
171923, Attitude, Pitch,0.357519145, Accelerometer (raw), z,-0.802215576
171923, Attitude, Roll,-0.031248635, Accelerometer (raw), x,-0.012466431
171923, Attitude, Yaw,1.561873096, Accelerometer (raw), y,-0.344207764
171923, Attitude, Pitch,0.354098079, Accelerometer (raw), z,-0.878753662
171923, Attitude, Roll,-0.055319772, Accelerometer (raw), x,-0.073760986
171923, Attitude, Yaw,1.576982686, Accelerometer (raw), y,-0.449905396
171923, Attitude, Pitch,0.339680302, Accelerometer (raw), z,-0.924514771
171924, Attitude, Roll,-0.075311993, Accelerometer (raw), x,-0.112106323
171924, Attitude, Yaw,1.604030519, Accelerometer (raw), y,-0.38331604
171924, Attitude, Pitch,0.359112882, Accelerometer (raw), z,-0.997253418
171924, Attitude, Roll,-0.075071429, Accelerometer (raw), x,-0.086166382
171924, Attitude, Yaw,1.639725779, Accelerometer (raw), y,-0.326919556
171924, Attitude, Pitch,0.386381612, Accelerometer (raw), z,-1.092163086
171924, Attitude, Roll,-0.096388393, Accelerometer (raw), x,-0.050430298
171924, Attitude, Yaw,1.643514347, Accelerometer (raw), y,-0.271469116
171924, Attitude, Pitch,0.391615033, Accelerometer (raw), z,-0.920913696
171924, Attitude, Roll,-0.087614242, Accelerometer (raw), x,-0.019622803
171924, Attitude, Yaw,1.653012928, Accelerometer (raw), y,-0.2837677
171924, Attitude, Pitch,0.390550724, Accelerometer (raw), z,-0.877838135
171924, Attitude, Roll,-0.072750285, Accelerometer (raw), x,-0.057159424
171924, Attitude, Yaw,1.652517119, Accelerometer (raw), y,-0.279205322
171924, Attitude, Pitch,0.359601339, Accelerometer (raw), z,-0.925125122
171924, Attitude, Roll,-0.070717534, Accelerometer (raw), x,-0.036514282
171924, Attitude, Yaw,1.655840383, Accelerometer (raw), y,-0.302856445
171924, Attitude, Pitch,0.336547826, Accelerometer (raw), z,-0.901168823
171924, Attitude, Roll,-0.061088184, Accelerometer (raw), x,-0.008346558
171924, Attitude, Yaw,1.651514537, Accelerometer (raw), y,-0.360443115
171924, Attitude, Pitch,0.329165597, Accelerometer (raw), z,-0.852874756
171924, Attitude, Roll,-0.04153219, Accelerometer (raw), x,-0.001098633
171924, Attitude, Yaw,1.643413169, Accelerometer (raw), y,-0.418884277
171924, Attitude, Pitch,0.334614863, Accelerometer (raw), z,-0.946472168
171924, Attitude, Roll,-0.033916981, Accelerometer (raw), x,-0.055160522
171924, Attitude, Yaw,1.615116129, Accelerometer (raw), y,-0.400192261
171924, Attitude, Pitch,0.38559919, Accelerometer (raw), z,-1.061508179
171924, Attitude, Roll,-0.023816045, Accelerometer (raw), x,-0.092102051
171924, Attitude, Yaw,1.589757446, Accelerometer (raw), y,-0.235366821
171924, Attitude, Pitch,0.379424372, Accelerometer (raw), z,-1.040023804
171925, Attitude, Roll,-0.006223439, Accelerometer (raw), x,-0.095581055
171925, Attitude, Yaw,1.574461454, Accelerometer (raw), y,-0.215484619
171925, Attitude, Pitch,0.387161278, Accelerometer (raw), z,-0.958251953
171925, Attitude, Roll,-0.000750465, Accelerometer (raw), x,-0.05645752
171925, Attitude, Yaw,1.534966492, Accelerometer (raw), y,-0.226028442
171925, Attitude, Pitch,0.348618876, Accelerometer (raw), z,-0.858566284
171925, Attitude, Roll,-0.014290871, Accelerometer (raw), x,-0.068862915
171925, Attitude, Yaw,1.52256585, Accelerometer (raw), y,-0.330276489
171925, Attitude, Pitch,0.365016501, Accelerometer (raw), z,-0.824691772
171925, Attitude, Roll,-0.022516419, Accelerometer (raw), x,-0.031188965
171925, Attitude, Yaw,1.515048709, Accelerometer (raw), y,-0.407501221
171925, Attitude, Pitch,0.361689657, Accelerometer (raw), z,-0.820404053
171925, Attitude, Roll,-0.032986272, Accelerometer (raw), x,-0.019348145
171925, Attitude, Yaw,1.512933508, Accelerometer (raw), y,-0.483840942
171925, Attitude, Pitch,0.374665114, Accelerometer (raw), z,-0.911621094
171925, Attitude, Roll,-0.050096486, Accelerometer (raw), x,-0.104095459
